transaction_id,user_id,account_id,amount,transaction_type,category,merchant_name,transaction_date,payment_method,is_flagged,monthly_budget,spent_in_category_month,over_budget_percentage
4601,23,891,3350.75,income,Salary,Freelance Client,30/06/2024 08:00,mobile_wallet,0,251.16,251.59,0.17
1514,215,490,3460.95,income,Investment,Mutual Funds,11/05/2024 23:00,bank_transfer,1,2689.05,574.25,0
3186,396,821,1701.14,income,Investment,Mutual Funds,13/12/2024 05:00,bank_transfer,0,2048.12,1223.35,0
3637,144,812,621,expense,Health,Optics,15/10/2024 09:00,card,0,854.54,360.84,0
5410,411,341,247.47,expense,Bills,Internet Provider,08/10/2024 03:00,bank_transfer,0,697.86,281.85,0
5390,211,19,561.62,expense,Education,Coursera,23/04/2024 13:00,mobile_wallet,0,443.95,416.52,0
753,229,486,306.37,expense,Education,Tuition Office,22/04/2024 13:00,bank_transfer,0,1561.89,2051.93,31.37
9247,358,756,3353.1,income,Salary,Contract Payment,10/07/2024 01:00,mobile_wallet,0,1546.22,2063.22,33.44
1846,438,842,3469.63,income,Investment,Stock Broker,24/01/2024 15:00,cash,1,249.23,312.53,25.4
2332,204,839,534.36,expense,Shopping,H&M,13/09/2024 01:00,cash,0,2351.01,1931.32,0
2249,280,140,786.75,expense,Education,Bookstore,30/10/2024 02:00,card,0,1260.48,343.11,0
1563,102,452,4331.9,income,Salary,Freelance Client,23/04/2024 06:00,mobile_wallet,0,2719.11,2155.66,0
2889,348,724,73.36,expense,Other,Misc Store,19/02/2024 11:00,mobile_wallet,0,2733.27,1023.92,0
240,351,573,15.46,expense,Food,Starbucks,05/05/2024 03:00,card,0,823.62,464.72,0
4171,454,645,749.04,expense,Other,Misc Store,24/11/2024 14:00,mobile_wallet,0,1010.71,1241.08,22.79
5914,187,473,581.32,income,Salary,Contract Payment,15/01/2024 07:00,cash,0,2058.91,2828.96,37.4
877,333,834,655.44,expense,Health,Dentist,08/03/2024 03:00,cash,0,1349.83,1517.63,12.43
6615,388,416,669.81,expense,Other,Service Fee,28/02/2024 18:00,card,0,2434.38,1066.29,0
3167,359,368,2713.75,income,Investment,Mutual Funds,17/04/2024 02:00,bank_transfer,0,2594.54,1650.41,0
5211,472,822,669.66,expense,Health,Pharmacy,16/02/2024 12:00,bank_transfer,0,2008.09,1855.88,0
5735,453,472,227.74,expense,Shopping,IKEA,24/04/2024 17:00,card,0,2521.46,2000.05,0
2119,102,507,118.05,expense,Entertainment,Netflix,14/07/2024 10:00,mobile_wallet,0,2998.27,3907.92,30.34
3229,297,122,516.35,expense,Food,Local Diner,28/07/2024 07:00,bank_transfer,0,1997.27,1478.64,0
8202,20,602,163.57,expense,Transport,Gas Station,26/01/2024 12:00,bank_transfer,0,2883.49,1134.03,0
2647,553,218,357.5,expense,Other,Unknown,29/01/2024 02:00,bank_transfer,0,1719.88,397.26,0
7527,60,23,2169.17,income,Investment,Mutual Funds,09/08/2024 11:00,bank_transfer,0,2087.84,3115.19,49.21
4653,537,2,689.73,expense,Transport,Uber,13/07/2024 17:00,card,1,904.6,48.03,0
9004,369,573,690.09,expense,Entertainment,PlayStation Store,30/01/2024 12:00,bank_transfer,0,1748.21,2357.86,34.87
1820,16,534,211.64,expense,Health,Clinic,14/04/2024 16:00,card,0,2753.32,3571.62,29.72
7839,593,850,4996.2,income,Salary,Freelance Client,14/06/2024 11:00,mobile_wallet,0,1849.85,2135.44,15.44
5194,142,418,731.11,income,Investment,Mutual Funds,21/10/2024 16:00,mobile_wallet,0,1836.49,1846.74,0.56
270,403,563,632.05,expense,Shopping,IKEA,24/02/2024 14:00,card,0,884.9,868.52,0
2772,346,849,550.54,expense,Food,Burger King,27/06/2024 03:00,cash,0,654.65,267.49,0
6773,207,794,445.69,expense,Education,Coursera,01/01/2024 09:00,bank_transfer,0,647.91,593.01,0
3040,420,724,4214.58,income,Salary,Freelance Client,19/09/2024 08:00,mobile_wallet,0,2001.75,2924.99,46.12
8173,561,239,752.98,expense,Health,Dentist,19/06/2024 02:00,cash,1,2652.24,202.33,0
5894,223,790,123.39,expense,Transport,Lyft,23/02/2024 11:00,bank_transfer,0,1258.16,832.5,0
8392,90,503,204,expense,Food,KFC,19/11/2024 14:00,card,0,1501.68,2103.86,40.1
9308,437,199,766.94,expense,Food,McDonald's,20/08/2024 18:00,cash,1,1726.85,2614.27,51.39
9354,30,501,217.63,expense,Education,Bookstore,29/02/2024 06:00,bank_transfer,1,1849,436.34,0
1109,413,551,776.67,expense,Health,Optics,21/04/2024 14:00,bank_transfer,0,2226.62,3024.11,35.82
6372,123,50,699.33,expense,Shopping,Local Mall,19/12/2024 02:00,bank_transfer,0,221.59,48.5,0
7988,75,410,2882.36,income,Investment,Mutual Funds,23/07/2024 17:00,bank_transfer,0,1331.46,424.19,0
6022,548,826,265.32,expense,Food,Local Diner,05/06/2024 00:00,bank_transfer,0,906.14,158.62,0
4478,363,408,4581.96,income,Investment,Crypto Exchange,11/01/2024 15:00,card,0,2748.46,2834.7,3.14
9292,509,167,2144.07,income,Investment,Stock Broker,04/05/2024 06:00,mobile_wallet,0,2321.22,2661.38,14.65
315,389,614,987.91,income,Investment,Crypto Exchange,05/05/2024 16:00,card,0,777.54,1067.06,37.24
6674,225,791,383.18,expense,Food,Burger King,31/08/2024 23:00,cash,0,2040.76,2853.88,39.84
4674,78,642,20.37,expense,Education,University,03/04/2024 21:00,mobile_wallet,0,2173.36,1000.12,0
9067,133,477,434.04,expense,Entertainment,Spotify,03/05/2024 17:00,mobile_wallet,0,2535.36,2694.9,6.29
9649,32,452,221.95,expense,Food,Local Diner,04/06/2024 23:00,card,0,409.52,58.16,0
2954,261,162,226.44,expense,Transport,Gas Station,27/01/2024 13:00,bank_transfer,0,948.9,1272.61,34.11
1164,478,567,743.84,expense,Bills,Internet Provider,19/02/2024 09:00,cash,0,935.8,943.49,0.82
1383,54,798,328.59,expense,Health,Optics,05/01/2024 00:00,mobile_wallet,0,1905.1,2001.83,5.08
5167,221,309,192.64,expense,Shopping,Local Mall,02/08/2024 01:00,card,0,2466.83,2089.3,0
3099,17,383,504.65,expense,Education,Tuition Office,24/06/2024 07:00,card,0,2093.85,3257.39,55.57
9947,500,788,210.39,expense,Entertainment,Concert Venue,01/01/2024 20:00,bank_transfer,0,2402.27,2844.48,18.41
6354,93,784,553.83,expense,Health,Clinic,03/09/2024 21:00,mobile_wallet,0,1296.32,769.87,0
4435,36,429,744.88,expense,Health,Gym,02/02/2024 13:00,cash,1,2979.59,2671.62,0
7241,156,508,543.03,expense,Other,Gift,08/08/2024 03:00,cash,0,648.58,439.79,0
4644,339,279,692.35,expense,Health,Optics,01/03/2024 07:00,mobile_wallet,0,1799.67,2602.48,44.61
8910,578,218,310.46,expense,Health,Pharmacy,01/06/2024 23:00,mobile_wallet,0,2072.23,3202.52,54.54
571,535,107,202.24,expense,Other,Misc Store,19/03/2024 07:00,bank_transfer,0,421.76,650.11,54.14
7217,171,388,550.13,expense,Entertainment,Netflix,26/06/2024 03:00,card,0,1795.6,703.4,0
4789,82,193,3422.1,income,Investment,Mutual Funds,24/12/2024 15:00,cash,0,779.54,807.82,3.63
6530,168,253,463.55,income,Salary,Freelance Client,26/04/2024 16:00,bank_transfer,0,1812.75,2779.71,53.34
9577,101,659,756.39,expense,Food,McDonald's,21/11/2024 13:00,mobile_wallet,0,533.62,157.22,0
6178,400,396,222.52,expense,Entertainment,Spotify,02/04/2024 00:00,card,0,2441.75,2006.56,0
7693,66,267,130.73,expense,Entertainment,PlayStation Store,22/07/2024 23:00,card,1,776.09,662.85,0
6539,270,856,722.51,expense,Other,Unknown,16/02/2024 18:00,bank_transfer,0,1786.41,1231.11,0
2178,274,252,547.1,expense,Education,Bookstore,22/07/2024 17:00,cash,1,546.17,502.91,0
7201,101,657,294.06,expense,Entertainment,Cinema,16/04/2024 01:00,cash,0,292.49,395.31,35.15
9420,182,388,1658.72,income,Investment,Mutual Funds,01/11/2024 09:00,card,0,2101.19,3305.39,57.31
7599,60,704,527.57,expense,Shopping,Local Mall,29/09/2024 05:00,card,0,2687.41,837.1,0
8884,563,156,599.84,expense,Shopping,Sephora,22/01/2024 18:00,card,0,1769.84,1754.02,0
3907,87,628,410.81,expense,Food,McDonald's,24/10/2024 23:00,card,0,1100.29,975.91,0
6704,343,191,32.25,expense,Transport,Uber,21/11/2024 00:00,cash,0,261.1,233.94,0
4833,472,333,622.56,expense,Education,University,02/09/2024 03:00,mobile_wallet,0,623.97,514.34,0
7541,413,787,733.02,expense,Entertainment,Cinema,01/08/2024 14:00,cash,0,2569.4,251.2,0
7679,141,360,561.31,expense,Transport,Gas Station,22/05/2024 19:00,mobile_wallet,0,1710.88,185.1,0
1544,356,693,2788.95,income,Investment,Crypto Exchange,11/08/2024 07:00,card,0,1447.56,1786.59,23.42
9400,57,44,683.92,expense,Transport,Taxi,02/06/2024 20:00,mobile_wallet,0,2714.14,969.12,0
2579,195,87,539.61,expense,Other,Misc Store,30/04/2024 10:00,bank_transfer,0,1717.19,2416.77,40.74
8169,186,178,3399.53,income,Salary,Company Payroll,30/01/2024 03:00,cash,0,1815.57,574.15,0
4091,273,548,589.6,expense,Health,Clinic,01/04/2024 10:00,cash,0,2185.16,1361.69,0
7616,307,808,257.34,expense,Shopping,Zara,01/10/2024 01:00,cash,0,2574.89,703.67,0
2233,234,498,418.73,expense,Food,Starbucks,15/05/2024 18:00,bank_transfer,0,1235.83,1585.08,28.26
8409,51,690,488.94,expense,Shopping,Sephora,22/03/2024 19:00,cash,0,2507.66,1954.1,0
4028,155,286,555.6,expense,Health,Optics,13/05/2024 02:00,mobile_wallet,0,1994.58,1692.94,0
8557,151,453,411.33,income,Investment,Stock Broker,30/10/2024 21:00,card,0,2786.23,2785.47,0
5281,46,18,508.43,expense,Health,Clinic,29/07/2024 12:00,bank_transfer,0,1918.57,1656.73,0
118,445,259,630.91,expense,Food,KFC,17/04/2024 15:00,bank_transfer,0,1891.18,1485.82,0
3738,46,442,465.77,expense,Transport,Metro,10/05/2024 05:00,bank_transfer,0,2598.88,1075.83,0
4118,335,112,397.45,expense,Entertainment,Cinema,28/10/2024 04:00,bank_transfer,0,2016.46,3192.62,58.33
9824,265,572,336.15,expense,Transport,Lyft,24/05/2024 06:00,card,0,722.25,511.2,0
9683,294,878,3523,income,Salary,Contract Payment,25/11/2024 20:00,cash,0,685.18,259.63,0
3021,540,338,472.21,income,Salary,Freelance Client,28/02/2024 20:00,cash,1,401.18,136.65,0
3405,252,146,44.59,expense,Shopping,Zara,20/04/2024 22:00,card,0,2332.19,930.64,0
5525,437,149,775.59,expense,Other,Gift,31/03/2024 14:00,card,0,2170.56,267.77,0
265,48,765,568.02,expense,Other,Service Fee,10/05/2024 13:00,cash,0,1326.55,352.47,0
9117,499,646,238.99,expense,Shopping,Zara,18/08/2024 19:00,bank_transfer,0,1747.99,1533.1,0
1146,305,234,640.87,expense,Shopping,IKEA,20/09/2024 12:00,mobile_wallet,0,539.17,191.42,0
7118,369,586,658.45,expense,Shopping,Local Mall,03/09/2024 20:00,card,0,2824.5,2527.79,0
3750,178,81,387.15,expense,Health,Optics,26/06/2024 20:00,mobile_wallet,0,1915,1682.68,0
1459,383,679,762.3,expense,Health,Pharmacy,11/04/2024 05:00,cash,0,735.19,17.87,0
6930,62,726,223.46,expense,Bills,Water Co,14/04/2024 03:00,card,0,1324.46,1695.97,28.05
2102,419,714,515.59,expense,Transport,Bus Co,06/02/2024 19:00,card,0,2324.89,375.18,0
7996,177,54,434.02,expense,Other,Gift,21/01/2024 16:00,mobile_wallet,0,1017.9,622.83,0
8736,444,206,719.27,expense,Health,Gym,13/06/2024 02:00,cash,0,2754.18,2084.19,0
4137,464,674,362.6,expense,Other,Misc Store,04/03/2024 03:00,mobile_wallet,0,1244.21,1565.18,25.8
683,502,1,152.13,expense,Shopping,Sephora,25/12/2024 06:00,card,0,1967.98,1270.86,0
4120,451,391,577.59,expense,Other,Service Fee,14/03/2024 18:00,card,0,2788.79,3132.84,12.34
1666,496,804,501.19,expense,Transport,Uber,06/12/2024 17:00,cash,0,2381.74,220.7,0
9186,20,610,459.22,expense,Other,Service Fee,23/09/2024 18:00,mobile_wallet,0,793.13,520.51,0
7875,165,524,2081.25,income,Salary,Company Payroll,10/11/2024 02:00,cash,0,1762.7,1264.99,0
4232,247,258,288.3,expense,Other,Service Fee,09/07/2024 13:00,mobile_wallet,0,1531.77,1365.47,0
150,461,420,439.17,income,Salary,Company Payroll,05/04/2024 17:00,mobile_wallet,0,2615.23,1849.02,0
2244,114,242,489.7,expense,Other,Gift,08/06/2024 14:00,card,1,336.15,455.61,35.54
8327,488,191,138.19,expense,Education,Udemy,06/06/2024 17:00,cash,0,842.43,1307.5,55.21
619,219,489,73.48,expense,Education,University,25/04/2024 15:00,card,0,928.86,508.33,0
2501,467,342,204.05,expense,Food,KFC,25/02/2024 00:00,cash,0,1890.52,2679.74,41.75
9799,533,699,295.95,expense,Education,University,24/10/2024 15:00,cash,1,2149.67,2295.06,6.76
2055,516,51,408.28,expense,Entertainment,Spotify,10/07/2024 19:00,mobile_wallet,1,1079.21,695.54,0
6717,432,661,192.21,expense,Bills,Gas Utility,21/08/2024 06:00,bank_transfer,0,2123.44,2287.88,7.74
2912,548,194,732.14,expense,Bills,Mobile Carrier,08/12/2024 00:00,mobile_wallet,0,544.82,604.56,10.97
3325,472,526,760.51,expense,Transport,Taxi,30/12/2024 07:00,card,0,1055.87,1638.44,55.17
7321,56,7,112.78,expense,Bills,Gas Utility,02/03/2024 05:00,bank_transfer,0,936.2,1358.74,45.13
2806,114,128,774.69,expense,Shopping,Local Mall,28/10/2024 20:00,mobile_wallet,0,1164.78,721.23,0
3395,499,664,958.9,income,Salary,Contract Payment,16/05/2024 16:00,bank_transfer,0,1297.47,58.91,0
7280,544,746,764.74,expense,Education,Tuition Office,02/11/2024 06:00,bank_transfer,0,1080.1,1404,29.99
1174,289,650,297.42,expense,Food,Local Diner,22/04/2024 00:00,card,0,863.58,748.37,0
3240,139,348,221.53,expense,Entertainment,Spotify,30/01/2024 12:00,card,0,2333.28,3714.76,59.21
9944,138,277,254.22,expense,Shopping,Sephora,19/05/2024 17:00,cash,0,216.5,287.91,32.98
6506,482,260,251.94,expense,Other,Service Fee,11/06/2024 14:00,card,0,2139.25,2212.85,3.44
9699,597,120,216,expense,Bills,Water Co,17/02/2024 06:00,bank_transfer,0,1499.75,2253.19,50.24
158,119,19,149.45,expense,Other,Gift,02/03/2024 02:00,cash,1,2898.6,3075.54,6.1
1214,271,272,372.34,expense,Other,Gift,14/05/2024 00:00,bank_transfer,0,2689.78,3950.21,46.86
2294,449,562,513.92,expense,Other,Misc Store,11/03/2024 21:00,cash,0,849.27,1168.97,37.64
262,318,585,448.97,expense,Other,Misc Store,19/02/2024 17:00,cash,0,1902.51,2599.96,36.66
9057,223,278,40.82,expense,Other,Misc Store,24/03/2024 14:00,cash,0,2189.07,1568.9,0
8433,3,505,309.69,expense,Other,Unknown,22/12/2024 03:00,mobile_wallet,0,2308.13,3410.95,47.78
1091,386,712,217.19,expense,Health,Pharmacy,25/04/2024 09:00,cash,0,1149.89,1625.95,41.4
2614,272,36,4501.7,income,Investment,Crypto Exchange,26/04/2024 04:00,bank_transfer,0,2922.92,542.21,0
8411,198,800,643.15,expense,Entertainment,Spotify,12/06/2024 14:00,mobile_wallet,1,912.13,19.8,0
5384,174,336,311.93,expense,Transport,Taxi,19/12/2024 13:00,card,0,433.83,415.58,0
2830,252,362,151.74,expense,Education,University,24/11/2024 03:00,mobile_wallet,0,1919.78,1573.16,0
2775,527,239,620.04,expense,Education,Tuition Office,30/01/2024 08:00,mobile_wallet,0,2073.68,368.08,0
5574,69,354,675.69,expense,Food,Subway,15/01/2024 08:00,cash,0,872.5,921.03,5.56
111,489,66,2146.5,income,Investment,Crypto Exchange,06/07/2024 18:00,bank_transfer,0,2359.74,1121.25,0
6378,479,190,2758.66,income,Salary,Contract Payment,13/10/2024 20:00,bank_transfer,0,549.94,702.27,27.7
8030,229,187,520.31,expense,Transport,Metro,26/07/2024 14:00,cash,0,371.42,184.04,0
7438,310,624,77.99,expense,Other,Unknown,19/05/2024 15:00,cash,0,1221.88,1675.99,37.16
4394,89,378,339.77,expense,Other,Unknown,17/10/2024 23:00,bank_transfer,0,504.03,566.06,12.31
5706,59,504,760.41,expense,Entertainment,PlayStation Store,17/04/2024 11:00,cash,1,2075.16,2612.65,25.9
2756,375,700,4209.16,income,Salary,Contract Payment,24/08/2024 21:00,cash,0,539.33,802.35,48.77
5948,495,369,975.3,income,Salary,Company Payroll,23/07/2024 05:00,card,0,1219.04,994.81,0
2989,417,280,714.43,expense,Shopping,Zara,23/10/2024 11:00,bank_transfer,0,441.76,618.7,40.05
8306,433,696,31.01,expense,Bills,Mobile Carrier,19/02/2024 10:00,mobile_wallet,0,376.09,65.58,0
7311,598,404,1721.6,income,Investment,Crypto Exchange,21/12/2024 15:00,mobile_wallet,0,456.11,444.12,0
692,237,414,147.78,expense,Health,Optics,24/07/2024 22:00,bank_transfer,0,335.62,211.93,0
9229,455,415,785.14,expense,Entertainment,Cinema,11/12/2024 20:00,bank_transfer,0,1931.61,401.05,0
9148,419,419,579.77,expense,Entertainment,PlayStation Store,18/01/2024 18:00,bank_transfer,0,1888.23,2849.54,50.91
6656,535,651,769.43,expense,Bills,Electric Co,24/03/2024 15:00,cash,0,2701.77,1908.04,0
30,249,783,2011.15,income,Salary,Contract Payment,17/04/2024 19:00,cash,0,2495.11,1263.11,0
5744,573,644,184.81,expense,Education,University,25/10/2024 09:00,card,0,2208.13,2610.47,18.22
2457,92,670,33.79,expense,Entertainment,PlayStation Store,19/12/2024 16:00,mobile_wallet,0,2425.03,3653.12,50.64
1660,403,552,32.76,expense,Food,Burger King,11/05/2024 06:00,mobile_wallet,0,1760.28,561.51,0
2964,343,269,59.45,expense,Other,Service Fee,19/04/2024 20:00,cash,0,2180.4,379.48,0
5407,356,781,82.41,expense,Other,Service Fee,14/02/2024 00:00,bank_transfer,0,1028.87,729.19,0
8564,43,665,263.44,expense,Shopping,H&M,12/08/2024 00:00,bank_transfer,0,2726.39,845.33,0
2353,521,675,178.27,expense,Transport,Bus Co,29/07/2024 18:00,mobile_wallet,0,543.73,732.82,34.78
7694,116,423,4843.02,income,Salary,Contract Payment,01/06/2024 22:00,bank_transfer,1,503.88,98.97,0
8248,444,672,664.86,expense,Transport,Bus Co,08/04/2024 08:00,card,0,2199.54,3392.2,54.22
1960,506,89,432.07,expense,Bills,Electric Co,26/07/2024 07:00,cash,0,983.24,476.36,0
1806,170,854,562.02,expense,Health,Pharmacy,03/06/2024 11:00,bank_transfer,0,1191.73,381.79,0
5898,143,197,244.67,expense,Entertainment,Cinema,22/10/2024 15:00,card,0,2043.92,3217.08,57.4
548,453,716,601.28,expense,Food,Subway,29/08/2024 14:00,bank_transfer,0,764.49,588.07,0
2890,254,792,1247.3,income,Salary,Contract Payment,24/10/2024 18:00,cash,0,1788.35,1839.33,2.85
5877,214,875,785.2,expense,Health,Gym,05/06/2024 19:00,card,0,764.21,776.66,1.63
4159,225,92,672.94,expense,Transport,Gas Station,25/12/2024 07:00,card,0,1038.93,504.15,0
9027,326,626,2174.17,income,Investment,Stock Broker,20/07/2024 22:00,cash,0,2607.3,2279.28,0
4126,356,807,1463.76,income,Salary,Contract Payment,16/07/2024 10:00,mobile_wallet,0,2588.14,617.66,0
3821,55,301,3859,income,Investment,Mutual Funds,26/06/2024 21:00,cash,0,2310.49,2266.39,0
5799,436,344,3464.55,income,Investment,Stock Broker,23/02/2024 03:00,bank_transfer,0,1363.94,1434.75,5.19
8226,574,305,619.1,expense,Transport,Metro,05/11/2024 16:00,cash,0,1774.77,2640.3,48.77
4738,322,59,796.21,expense,Transport,Lyft,19/01/2024 21:00,card,0,1497.02,1982.63,32.44
2302,390,292,651.63,expense,Education,Udemy,14/04/2024 02:00,cash,0,1119.96,1521.53,35.86
9835,221,412,453.59,expense,Education,Coursera,12/07/2024 10:00,mobile_wallet,0,2021.26,3103.5,53.54
9101,25,374,1062.02,income,Salary,Contract Payment,01/03/2024 06:00,cash,0,2767.14,1630.43,0
187,442,780,639.17,expense,Bills,Internet Provider,11/07/2024 23:00,cash,0,2996.53,4113.77,37.28
8524,76,109,599.04,expense,Health,Dentist,19/10/2024 04:00,bank_transfer,0,607.52,901.5,48.39
9049,345,838,2912.08,income,Investment,Mutual Funds,04/02/2024 02:00,mobile_wallet,0,2725.42,3149.96,15.58
6782,55,632,160.57,expense,Bills,Water Co,21/02/2024 02:00,bank_transfer,0,459.73,288.46,0
1318,376,335,170.33,expense,Bills,Electric Co,05/02/2024 16:00,bank_transfer,0,1716.7,1891.36,10.17
2808,307,669,276.12,expense,Entertainment,Spotify,07/09/2024 14:00,cash,0,453.21,69.87,0
4260,67,275,150.23,expense,Transport,Uber,03/03/2024 19:00,bank_transfer,0,1445.39,215.75,0
3108,217,677,789.86,expense,Food,McDonald's,17/08/2024 04:00,cash,0,2418.11,3461.23,43.14
1302,187,405,278.53,expense,Transport,Taxi,01/01/2024 11:00,cash,0,724.56,764.2,5.47
9686,447,44,679.88,expense,Entertainment,PlayStation Store,09/05/2024 18:00,card,0,2997.88,3384.01,12.88
7083,474,654,679.12,expense,Health,Optics,13/02/2024 21:00,card,0,1229.07,632.42,0
7094,269,67,263.73,expense,Food,Starbucks,12/10/2024 07:00,card,0,2174.98,2141.81,0
3415,208,101,645.66,expense,Shopping,H&M,05/01/2024 07:00,bank_transfer,0,2010.6,1592.06,0
8207,588,777,464.6,expense,Education,Bookstore,25/02/2024 08:00,bank_transfer,0,463.21,390.48,0
3904,412,864,51.47,expense,Entertainment,Spotify,04/09/2024 16:00,cash,0,734.3,1116.07,51.99
3827,229,218,613.98,expense,Entertainment,Concert Venue,01/12/2024 04:00,mobile_wallet,0,2688.99,2920.96,8.63
6698,387,468,286.61,expense,Shopping,H&M,12/01/2024 22:00,cash,0,2941.8,3233.59,9.92
7619,594,529,1624.1,income,Investment,Stock Broker,21/06/2024 15:00,cash,0,668.98,95.32,0
4029,279,478,549.06,expense,Shopping,Amazon,09/07/2024 23:00,mobile_wallet,0,627.85,89.19,0
3439,57,6,4663.9,income,Investment,Mutual Funds,22/07/2024 04:00,cash,0,2186.16,3400.68,55.55
8048,344,308,1248.85,income,Investment,Mutual Funds,08/09/2024 21:00,cash,1,837.54,1228.63,46.7
7771,376,651,4582.46,income,Salary,Freelance Client,15/02/2024 02:00,cash,0,2911.62,323.44,0
3374,416,365,280.88,expense,Education,University,02/12/2024 23:00,bank_transfer,0,1292.95,818.38,0
4810,249,479,784.13,expense,Shopping,Amazon,22/07/2024 06:00,bank_transfer,1,2765.98,2987.76,8.02
841,9,338,429.95,expense,Education,Coursera,08/07/2024 02:00,bank_transfer,0,883.07,232.59,0
5156,261,654,156.29,expense,Food,McDonald's,22/03/2024 03:00,cash,1,589.67,432.65,0
8331,590,506,562.78,expense,Food,Burger King,10/03/2024 06:00,cash,0,2734.8,2185.13,0
205,578,386,445.33,expense,Bills,Gas Utility,01/05/2024 08:00,card,0,727.63,149.21,0
4163,38,300,664.85,expense,Other,Misc Store,01/01/2024 06:00,mobile_wallet,0,2389.83,3408.98,42.65
2094,171,205,294.08,expense,Entertainment,Spotify,19/07/2024 12:00,card,0,1402.92,2140.06,52.54
3669,514,853,125.57,expense,Shopping,Amazon,30/11/2024 05:00,card,0,2415.41,2306.63,0
2027,401,18,557.29,expense,Shopping,IKEA,27/11/2024 18:00,bank_transfer,0,2485.97,2226.55,0
739,279,352,498.62,expense,Transport,Taxi,11/10/2024 04:00,bank_transfer,1,1985.1,1663.28,0
1677,525,445,375.09,expense,Other,Misc Store,26/06/2024 16:00,cash,0,749.08,787.67,5.15
9813,490,269,9.33,expense,Transport,Taxi,29/04/2024 04:00,cash,1,1961.4,263.84,0
502,143,645,634.7,expense,Other,Misc Store,04/04/2024 06:00,bank_transfer,0,2389.34,2480.53,3.82
8063,553,777,183.02,expense,Food,KFC,31/08/2024 04:00,bank_transfer,1,381.77,589.47,54.4
3285,277,577,180.46,expense,Health,Clinic,21/07/2024 08:00,bank_transfer,0,1727.71,1194.13,0
8597,201,330,7.64,expense,Transport,Metro,11/03/2024 22:00,card,1,766.82,833,8.63
1047,83,791,108.16,expense,Entertainment,PlayStation Store,16/04/2024 13:00,bank_transfer,0,2726.96,796.08,0
6574,460,504,57.15,expense,Bills,Internet Provider,09/06/2024 10:00,cash,0,2218.75,1797.12,0
1847,183,281,142.73,expense,Bills,Water Co,18/12/2024 22:00,card,0,907.2,315.16,0
6413,420,496,400.68,expense,Bills,Mobile Carrier,16/03/2024 08:00,bank_transfer,0,1656.39,1828.11,10.37
7434,304,770,769.91,expense,Health,Optics,30/04/2024 01:00,cash,0,685.36,658.68,0
6013,598,865,285.58,expense,Health,Clinic,24/06/2024 10:00,mobile_wallet,1,2791.66,1375.2,0
3159,94,167,626.16,income,Salary,Contract Payment,13/07/2024 04:00,cash,0,1071.95,1708.79,59.41
7461,449,556,581.41,expense,Other,Service Fee,09/04/2024 18:00,bank_transfer,0,2829.81,1835.08,0
1958,332,30,3725.93,income,Salary,Company Payroll,22/06/2024 12:00,cash,0,2322.07,450.26,0
7401,369,150,2956.67,income,Investment,Crypto Exchange,12/05/2024 16:00,mobile_wallet,0,2459.57,164.16,0
700,469,161,2099.81,income,Salary,Contract Payment,03/08/2024 15:00,cash,0,2315.74,2281.99,0
2901,262,779,255.34,expense,Entertainment,PlayStation Store,17/09/2024 05:00,bank_transfer,0,2593.84,16.32,0
